BGA,Intan
1,106
2,103
3,100
4,97
5,None
6,29
7,26
8,23
9,105
10,102
11,99
12,96
13,None
14,28
15,25
16,22
17,104
18,101
19,98
20,None
21,None
22,27
23,24
24,21
25,109
26,108
27,107
28,16
29,17
30,20
31,19
32,18
33,122
34,119
35,116
36,113
37,14
38,11
39,8
40,5
41,121
42,118
43,115
44,112
45,13
46,10
47,7
48,4
49,120
50,117
51,114
52,15
53,12
54,9
55,6
56,3
57,125
58,124
59,123
60,126
61,127
62,2
63,1
64,0
65,85
66,88
67,91
68,94
69,33
70,36
71,39
72,42
73,86
74,89
75,92
76,95
77,34
78,37
79,40
80,43
81,87
82,90
83,93
84,32
85,35
86,38
87,41
88,44
89,82
90,83
91,84
92,81
93,80
94,45
95,46
96,47
97,69
98,72
99,75
100,78
101,49
102,52
103,55
104,58
105,70
106,73
107,76
108,79
109,50
110,53
111,56
112,59
113,71
114,74
115,77
116,48
117,51
118,54
119,57
120,60
121,66
122,67
123,68
124,65
125,64
126,61
127,62
128,63
